"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","CrdY","CrdR","2CrdY","Fls","Fld","Off","Crs","Int","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Won_percent_Aerial","Url"
2018,"Hannover 96","Bundesliga","opponent",26,34,66,2,1,522,476,64,678,378,491,4,5,0,1580,681,787,46.4,"https://fbref.com/en/squads/60b5e41f/2017-2018/Hannover-96-Stats"
2018,"Hellas Verona","Serie A","team",32,38,NA,NA,4,511,404,79,665,541,459,3,8,2,1883,555,642,46.4,"https://fbref.com/en/squads/0e72edf2/2017-2018/Hellas-Verona-Stats"
2018,"Hellas Verona","Serie A","opponent",32,38,66,4,0,440,487,73,938,404,442,7,7,0,2110,642,555,53.6,"https://fbref.com/en/squads/0e72edf2/2017-2018/Hellas-Verona-Stats"
2018,"Hertha BSC","Bundesliga","team",25,34,NA,NA,0,494,465,47,528,386,488,5,7,1,1321,665,667,49.9,"https://fbref.com/en/squads/2818f8bc/2017-2018/Hertha-BSC-Stats"
2018,"Hertha BSC","Bundesliga","opponent",25,34,56,3,1,476,467,71,662,391,460,6,5,0,1493,667,665,50.1,"https://fbref.com/en/squads/2818f8bc/2017-2018/Hertha-BSC-Stats"
2018,"Hoffenheim","Bundesliga","team",26,34,NA,NA,0,506,438,78,592,345,516,5,4,2,1513,441,479,47.9,"https://fbref.com/en/squads/033ea6b8/2017-2018/Hoffenheim-Stats"
2018,"Hoffenheim","Bundesliga","opponent",26,34,43,2,1,447,482,83,601,435,504,4,5,2,1471,479,441,52.1,"https://fbref.com/en/squads/033ea6b8/2017-2018/Hoffenheim-Stats"
2018,"Huddersfield","Premier League","team",25,38,NA,NA,2,397,363,67,765,518,502,2,6,1,2141,788,800,49.6,"https://fbref.com/en/squads/f5922ca5/2017-2018/Huddersfield-Town-Stats"
2018,"Huddersfield","Premier League","opponent",25,38,56,4,1,377,384,118,637,440,433,6,2,3,2157,800,788,50.4,"https://fbref.com/en/squads/f5922ca5/2017-2018/Huddersfield-Town-Stats"
2018,"Inter","Serie A","team",22,38,NA,NA,0,452,395,94,1042,402,435,6,2,4,2140,538,477,53,"https://fbref.com/en/squads/d609edc0/2017-2018/Internazionale-Stats"
