"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Min_Playing.Time_Generales","Min_percent_Playing.Time_Generales","onxG_Team.Success..xG._Generales","onG_Team.Success_Generales","onxGA_Team.Success..xG_Generales","Compl_Starts_Generales","MP_Playing.Time_Generales","Mins_Per_90_Porteria","Att (GK)_Passes_Porteria","#OPA_per_90_Sweeper_Porteria","Stp_crosses_compose_index_Porteria","Save_compose_index_Porteria","PSxG_compose_index_Porteria","Launched_compose_index_Porteria","Save_penalty_compose_index_Porteria"
"2018","La Coruña","La Liga","Costel Pantilimon","ROU","GK",30,540,15.8,8.4,8,8.2,6,6,6,117,0,22.6548858987859,228.0719111275,0.036144578313253,206.273787472478,0
"2018","La Coruña","La Liga","Rubén","ESP","GK",33,2478,72.5,36,25,43.3,27,28,27.5,474,0.44,31.6982877246476,285.486992105117,-0.183932346723044,239.98671096723,46.1636022252924
"2018","Las Palmas","La Liga","Leandro Chichizola","ARG","GK",27,2430,71.1,27.5,18,48.9,27,27,27,907,2.11,36.1866956434329,353.249788233786,0.094488188976378,214.573024597614,0
"2018","Las Palmas","La Liga","Raúl Lizoain","ESP","GK",26,990,28.9,11,6,21.6,11,11,11,288,0.82,22.7816776486214,261.111411664179,-0.179039301310044,172.390696439679,0
"2018","Lazio","Serie A","Thomas Strakosha","ALB","GK",22,3420,100,63.7,89,43.9,38,38,38,884,0.92,24.9370975325434,379.62300137949,0.0838206627680312,286.418943407371,23.9789527279837
"2018","Leganés","La Liga","Iván Cuéllar","ESP","GK",33,3150,92.1,36,29,41.5,35,35,35,859,1.34,37.0676646843036,359.257404123696,0.0315315315315315,236.529465395965,32.4966994892237
"2018","Leicester City","Premier League","Kasper Schmeichel","DEN","GK",30,2965,86.7,44.7,49,39.6,32,33,32.9,866,1.64,34.8129941660752,329.129411339817,-0.164556962025316,256.351611710778,92.4658338866967
"2018","Levante","La Liga","Oier Olazábal","ESP","GK",27,2340,68.4,32.3,30,42.1,26,26,26,501,0.88,32.9941510907068,346.958492022351,0.0526315789473684,215.610249580366,0
"2018","Levante","La Liga","Raúl Fernández","ESP","GK",29,990,28.9,12.1,12,17.4,11,11,11,228,1.55,22.4707106969668,286.010156138658,0.0797546012269939,240.009200996215,0
"2018","Leverkusen","Bundesliga","Bernd Leno","GER","GK",25,2970,97.1,57,58,35.3,33,33,33,995,1.03,46.6523585996311,321.189959729501,-0.136363636363636,227.553131021221,0
"2018","Lille","Ligue 1","Mike Maignan","FRA","GK",22,3032,88.7,31.6,37,49,33,34,33.7,868,1.51,44.4334555064598,349.600620310931,-0.0944206008583691,235.373891272538,71.6703787691222
"2018","Liverpool","Premier League","Loris Karius","GER","GK",24,1710,50,36.1,40,13.6,19,19,19,524,1.74,26.4915868327402,280.639414362651,-0.0526315789473684,157.993957802574,46.1636022252924
"2018","Liverpool","Premier League","Simon Mignolet","BEL","GK",29,1710,50,36.7,44,20.2,19,19,19,499,1.79,40.6020966009409,256.715404051326,-0.0434782608695652,164.543894960516,46.1636022252924
"2018","Lyon","Ligue 1","Anthony Lopes","POR","GK",26,3060,89.5,57.7,78,35.2,34,34,34,810,0.88,25.5931153883662,377.427632283042,0.0957446808510638,212.266384191501,62.8406229118159
"2018","M'Gladbach","Bundesliga","Yann Sommer","SUI","GK",28,2625,85.8,45.5,44,43.9,29,30,29.2,1009,0.75,50.107186100733,375.786262959301,-0.0432569974554707,228.04261451978,0
"2018","Mainz 05","Bundesliga","Florian Müller","GER","GK",19,450,14.7,3.3,3,6.6,5,5,5,116,0.8,5.2880630967171,206.172531639,-0.0606060606060606,110.022378217462,69.3147180559945
"2018","Mainz 05","Bundesliga","René Adler","GER","GK",32,1260,41.2,16.1,16,20,14,14,14,322,1.57,48.658678529529,270.852016761714,-0.285714285714286,194.214294462811,0
"2018","Mainz 05","Bundesliga","Robin Zentner","GER","GK",22,1350,44.1,16,19,21.4,15,15,15,386,1.27,27.8542486282945,286.025819749472,-0.220657276995305,201.725467793459,0
"2018","Málaga","La Liga","Roberto","ESP","GK",31,3060,89.5,32.7,23,50.1,34,34,34,717,0.59,35.8200301666134,344.687124789185,0.0941385435168739,250.08349218449,35.8351893845611
"2018","Manchester City","Premier League","Ederson","BRA","GK",23,3194,93.4,74.7,99,22.1,35,36,35.5,935,2.45,40.2011734232282,296.62531794039,-0.00418410041841004,260.147566562942,109.861228866811
"2018","Manchester Utd","Premier League","David de Gea","ESP","GK",26,3330,97.4,55.3,67,40.1,37,37,37,799,0.57,20.4008801921649,399.364923153518,0.324675324675325,242.675808283962,0
"2018","Marseille","Ligue 1","Steve Mandanda","FRA","GK",32,2704,79.1,63.1,65,33.3,29,31,30,702,0.47,44.1190257637653,333.0942354111,-0.0975609756097561,215.835831555505,44.7939867307014
"2018","Marseille","Ligue 1","Yohann Pelé","FRA","GK",34,738,21.6,15.1,15,8.5,7,10,8.2,174,1.22,33.3953901430747,222.258040828686,-0.125,176.346508593964,0
"2018","Metz","Ligue 1","Eiji Kawashima","JPN","GK",34,2569,75.1,29.5,31,54.4,28,29,28.5,655,1.16,10.2149824152524,328.446091079749,-0.0405643738977072,238.807019488143,109.861228866811
"2018","Metz","Ligue 1","Thomas Didillon","FRA","GK",21,810,23.7,10.7,2,15.1,9,9,9,194,1.11,41.3639349601792,245.829399178089,0.0441176470588235,225.949860245359,0
"2018","Milan","Serie A","Gianluigi Donnarumma","ITA","GK",18,3420,100,51.2,56,36.9,38,38,38,968,1.03,20.4280408393154,340.857334237056,-0.0539845758354756,265.237146766995,0
"2018","Monaco","Ligue 1","Danijel Subašić","CRO","GK",32,2939,85.9,53.1,68,41.2,32,34,32.7,655,0.64,41.392225564139,340.474246249384,-0.0282776349614396,232.420700029749,0
"2018","Montpellier","Ligue 1","Benjamin Lecomte","FRA","GK",26,3420,100,42.6,36,39,38,38,38,880,0.63,63.9069449544575,363.049099921837,0.129287598944591,283.250922748742,0
"2018","Nantes","Ligue 1","Ciprian Tătărușanu","ROU","GK",31,3330,97.4,40.5,36,36.2,37,37,37,753,0.59,41.938318203842,357.052521416421,-0.117824773413897,242.366730519434,0
"2018","Napoli","Serie A","Pepe Reina","ESP","GK",34,3330,97.4,66.4,77,26.5,37,37,37,950,1.54,13.4993829002077,331.034651960015,-0.102661596958175,256.271317790273,0
"2018","Newcastle Utd","Premier League","Karl Darlow","ENG","GK",26,900,26.3,10.9,10,15.9,10,10,10,247,0.4,35.0186993251134,288.404475312638,0.177215189873418,183.154892039808,0
"2018","Newcastle Utd","Premier League","Martin Dúbravka","SVK","GK",28,1080,31.6,15.2,15,13.8,12,12,12,255,1.08,37.0645263580561,255.722307028765,0.225352112676056,163.033788601514,69.3147180559945
"2018","Newcastle Utd","Premier League","Rob Elliot","IRL","GK",31,1440,42.1,15.6,14,22.8,16,16,16,378,0.94,32.2296027578573,287.19784416882,-0.0638297872340425,245.634094952336,54.9306144334055
"2018","Nice","Ligue 1","Walter Benítez","ARG","GK",24,2520,73.7,33.7,40,38,28,28,28,542,0.14,17.6909249608582,335.32285014633,0.0835579514824798,216.756791851715,71.6703787691222
"2018","Nice","Ligue 1","Yoan Cardinale","FRA","GK",23,900,26.3,15.5,13,11.5,10,10,10,192,0.5,20.5139438852024,227.997846715285,-0.136363636363636,216.47211575289,0
"2018","Paris S-G","Ligue 1","Alphonse Areola","FRA","GK",24,3060,89.5,79.5,101,29.8,34,34,34,659,1.47,32.4209901623753,354.556767599567,0.083969465648855,236.371178399711,69.3147180559945
